date,rate
2024-01-25,7.1691
2024-01-26,7.1745
2024-01-29,7.1793
2024-01-30,7.1792
2024-01-31,7.1781
2024-02-01,7.1822
2024-02-02,7.1773
2024-02-05,7.198
2024-02-06,7.189
2024-02-07,7.1946
2024-02-08,7.1965
2024-02-09,7.1936
2024-02-12,7.1936
2024-02-13,7.1936
2024-02-14,7.1936
2024-02-15,7.1943
2024-02-16,7.1936
2024-02-19,7.1984
2024-02-20,7.1948
2024-02-21,7.1912
2024-02-22,7.1918
2024-02-23,7.197
2024-02-26,7.1968
2024-02-27,7.1979
2024-02-28,7.199
2024-02-29,7.1945
2024-03-01,7.1985
2024-03-04,7.1993
2024-03-05,7.1992
2024-03-06,7.1989
2024-03-07,7.1971
2024-03-08,7.1894
2024-03-11,7.182
2024-03-12,7.1775
2024-03-13,7.1924
2024-03-14,7.1912
2024-03-15,7.1961
2024-03-18,7.1981
2024-03-19,7.1992
2024-03-20,7.1983
2024-03-21,7.199
2024-03-22,7.2295
2024-03-25,7.2113
2024-03-26,7.2186
2024-03-27,7.2284
2024-03-28,7.2282
2024-04-02,7.2359
2024-04-03,7.2357
2024-04-04,7.2338
2024-04-05,7.2337
2024-04-08,7.2329
2024-04-09,7.2332
2024-04-10,7.2328
2024-04-11,7.237
2024-04-12,7.2375
2024-04-15,7.2386
2024-04-16,7.2384
2024-04-17,7.2388
2024-04-18,7.2379
2024-04-19,7.2411
2024-04-22,7.2434
2024-04-23,7.2469
2024-04-24,7.246
2024-04-25,7.2465
2024-04-26,7.2464
2024-04-29,7.2413
2024-04-30,7.241
2024-05-02,7.2411
2024-05-03,7.2411
2024-05-06,7.2069
2024-05-07,7.2178
2024-05-08,7.2281
2024-05-09,7.2264
2024-05-10,7.2249
2024-05-13,7.2344
2024-05-14,7.2344
2024-05-15,7.2205
2024-05-16,7.2179
2024-05-17,7.227
2024-05-20,7.2332
2024-05-21,7.2358
2024-05-22,7.2404
2024-05-23,7.2395
2024-05-24,7.2437
2024-05-27,7.2438
2024-05-28,7.2452
2024-05-29,7.2493
2024-05-30,7.2363
2024-05-31,7.2408
2024-06-03,7.2461
2024-06-04,7.237
2024-06-05,7.2475
2024-06-06,7.2448
2024-06-07,7.2413
2024-06-10,7.2478
2024-06-11,7.2543
2024-06-12,7.2537
2024-06-13,7.2525
2024-06-14,7.2552
2024-06-17,7.2562
2024-06-18,7.256
2024-06-19,7.257
2024-06-20,7.2605
2024-06-21,7.2607
2024-06-24,7.2592
2024-06-25,7.2626
2024-06-26,7.2666
2024-06-27,7.2686
2024-06-28,7.2628
2024-07-01,7.2682
2024-07-02,7.2713
2024-07-03,7.2734
2024-07-04,7.2699
2024-07-05,7.2667
2024-07-08,7.2696
2024-07-09,7.272
2024-07-10,7.276
2024-07-11,7.265
2024-07-12,7.2529
2024-07-15,7.2619
2024-07-16,7.2668
2024-07-17,7.2592
2024-07-18,7.2577
2024-07-19,7.2695
2024-07-22,7.2732
2024-07-23,7.2747
2024-07-24,7.2764
2024-07-25,7.2188
2024-07-26,7.2514
2024-07-29,7.2588
2024-07-30,7.2514
2024-07-31,7.2215
2024-08-01,7.2484
2024-08-02,7.2058
2024-08-05,7.1171
2024-08-06,7.1526
2024-08-07,7.1805
2024-08-08,7.1723
2024-08-09,7.1705
2024-08-12,7.1798
2024-08-13,7.1632
2024-08-14,7.1356
2024-08-15,7.1579
2024-08-16,7.1637
2024-08-19,7.1414
2024-08-20,7.1447
2024-08-21,7.1344
2024-08-22,7.1388
2024-08-23,7.1364
2024-08-26,7.1228
2024-08-27,7.1266
2024-08-28,7.129
2024-08-29,7.0935
2024-08-30,7.088
2024-09-02,7.113
2024-09-03,7.1241
2024-09-04,7.1175
2024-09-05,7.0955
2024-09-06,7.0837
2024-09-09,7.1166
2024-09-10,7.119
2024-09-11,7.1117
2024-09-12,7.1206
2024-09-13,7.0963
2024-09-16,7.0963
2024-09-17,7.0963
2024-09-18,7.0835
2024-09-19,7.0659
2024-09-20,7.055
2024-09-23,7.0544
2024-09-24,7.0322
2024-09-25,7.0298
2024-09-26,7.0115
2024-09-27,7.0111
2024-09-30,7.0124
2024-10-01,7.0185
2024-10-02,7.0185
2024-10-03,7.0185
2024-10-04,7.0185
2024-10-07,7.0185
2024-10-08,7.0524
2024-10-09,7.0672
2024-10-10,7.0779
2024-10-11,7.0655
2024-10-14,7.0849
2024-10-15,7.1149
2024-10-16,7.1131
2024-10-17,7.1218
2024-10-18,7.1047
2024-10-21,7.1131
2024-10-22,7.1206
2024-10-23,7.1291
2024-10-24,7.1149
2024-10-25,7.1245
2024-10-28,7.1269
2024-10-29,7.1371
2024-10-30,7.1247
2024-10-31,7.116
2024-11-01,7.111
2024-11-04,7.0949
2024-11-05,7.1033
2024-11-06,7.179
2024-11-07,7.1543
2024-11-08,7.1698
2024-11-11,7.203
2024-11-12,7.2319
2024-11-13,7.2091
2024-11-14,7.2408
2024-11-15,7.2278
2024-11-18,7.2443
2024-11-19,7.2394
2024-11-20,7.2456
2024-11-21,7.2396
2024-11-22,7.2472
2024-11-25,7.2433
2024-11-26,7.2481
2024-11-27,7.2497
2024-11-28,7.2475
2024-11-29,7.2414
2024-12-02,7.2733
2024-12-03,7.2859
2024-12-04,7.2708
2024-12-05,7.2654
2024-12-06,7.2632
2024-12-09,7.2644
2024-12-10,7.2532
2024-12-11,7.2635
2024-12-12,7.2702
2024-12-13,7.2742
2024-12-16,7.2836
2024-12-17,7.2844
2024-12-18,7.285
2024-12-19,7.2975
2024-12-20,7.2985
2024-12-23,7.2992
2024-12-24,7.2961
2024-12-27,7.2994
2024-12-30,7.2993
2024-12-31,7.2994
2025-01-02,7.2995
2025-01-03,7.3183
2025-01-06,7.3167
2025-01-07,7.3263
2025-01-08,7.3316
2025-01-09,7.3322
2025-01-10,7.3313
2025-01-13,7.3319
2025-01-14,7.3312
2025-01-15,7.3316
2025-01-16,7.3317
2025-01-17,7.329
2025-01-20,7.312
2025-01-21,7.2843
2025-01-22,7.2673
2025-01-23,7.2884
2025-01-24,7.247
2025-01-27,7.2465
2025-01-28,7.2466
2025-01-29,7.2513
2025-01-30,7.2514
2025-01-31,7.2513
2025-02-03,7.2513
2025-02-04,7.2514
2025-02-05,7.2728
2025-02-06,7.2887
2025-02-07,7.2886
2025-02-10,7.3057
2025-02-11,7.3072
2025-02-12,7.309
2025-02-13,7.2971
2025-02-14,7.2667
2025-02-17,7.2631
2025-02-18,7.2802
2025-02-19,7.2855
2025-02-20,7.2591
2025-02-21,7.2559
2025-02-24,7.25
2025-02-25,7.261
2025-02-26,7.259
2025-02-27,7.2661
2025-02-28,7.279
2025-03-03,7.2892
2025-03-04,7.2572
2025-03-05,7.2634
2025-03-06,7.2478
2025-03-07,7.236
2025-03-10,7.2585
2025-03-11,7.2332
2025-03-12,7.2431
2025-03-13,7.2477
2025-03-14,7.2387
2025-03-17,7.2337
2025-03-18,7.2272
2025-03-19,7.2301
2025-03-20,7.2446
2025-03-21,7.2483
2025-03-24,7.2536
2025-03-25,7.2583
2025-03-26,7.2656
2025-03-27,7.2657
2025-03-28,7.2654
2025-03-31,7.2531
2025-04-01,7.2702
2025-04-02,7.2692
2025-04-03,7.292
2025-04-04,7.2821
2025-04-07,7.3087
2025-04-08,7.3387
2025-04-09,7.3498
2025-04-10,7.3215
2025-04-11,7.2994
2025-04-14,7.3126
2025-04-15,7.315
2025-04-16,7.3061
2025-04-17,7.2975
2025-04-22,7.3134
2025-04-23,7.2886
2025-04-24,7.2895
2025-04-25,7.2883
2025-04-28,7.298
2025-04-29,7.2729
2025-04-30,7.2659
2025-05-02,7.2714
2025-05-05,7.2714
2025-05-06,7.2172
2025-05-07,7.2253
2025-05-08,7.2377
2025-05-09,7.2405
2025-05-12,7.2032
2025-05-13,7.2013
2025-05-14,7.2047
2025-05-15,7.2115
2025-05-16,7.2056
2025-05-19,7.2123
2025-05-20,7.2195
2025-05-21,7.2034
2025-05-22,7.2046
2025-05-23,7.1849
2025-05-26,7.187
2025-05-27,7.1952
2025-05-28,7.1929
2025-05-29,7.1885
2025-05-30,7.1943
2025-06-02,7.1998
2025-06-03,7.1879
2025-06-04,7.1886
2025-06-05,7.1792
2025-06-06,7.1821
2025-06-09,7.1817
2025-06-10,7.1848
2025-06-11,7.1873
2025-06-12,7.1762
2025-06-13,7.1822
2025-06-16,7.1801
2025-06-17,7.1828
2025-06-18,7.1883
2025-06-19,7.1873
2025-06-20,7.177
2025-06-23,7.1864
2025-06-24,7.1734
2025-06-25,7.1745
2025-06-26,7.1708
2025-06-27,7.1718
2025-06-30,7.1647
2025-07-01,7.1621
2025-07-02,7.1693
2025-07-03,7.1615
2025-07-04,7.1628
2025-07-07,7.1733
2025-07-08,7.1741
2025-07-09,7.1801
2025-07-10,7.1748
2025-07-11,7.1678
2025-07-14,7.1672
2025-07-15,7.173
2025-07-16,7.1806
2025-07-17,7.1817
2025-07-18,7.1779
2025-07-21,7.1763
2025-07-22,7.175
2025-07-23,7.1602
2025-07-24,7.1574
2025-07-25,7.1687
2025-07-28,7.1739
2025-07-29,7.1775
2025-07-30,7.1817
2025-07-31,7.1947
2025-08-01,7.2118
2025-08-04,7.1762
2025-08-05,7.1874
2025-08-06,7.1857
2025-08-07,7.1792
2025-08-08,7.1838
2025-08-11,7.1846
2025-08-12,7.1873
2025-08-13,7.1745
2025-08-14,7.1706
2025-08-15,7.1791
2025-08-18,7.1788
2025-08-19,7.1791
2025-08-20,7.1761
2025-08-21,7.1782
2025-08-22,7.1789
2025-08-25,7.1565
2025-08-26,7.1574
2025-08-27,7.1618
2025-08-28,7.1314
2025-08-29,7.1329
2025-09-01,7.1345
2025-09-02,7.1443
2025-09-03,7.1456
2025-09-04,7.1407
2025-09-05,7.1376
2025-09-08,7.1299
2025-09-09,7.1215
2025-09-10,7.1228
2025-09-11,7.1247
2025-09-12,7.1225
2025-09-15,7.1218
2025-09-16,7.1153
2025-09-17,7.1042
2025-09-18,7.1055
2025-09-19,7.1157
2025-09-22,7.1121
2025-09-23,7.1118
2025-09-24,7.1271
2025-09-25,7.1241
2025-09-26,7.1374
2025-09-29,7.1212
2025-09-30,7.1196
2025-10-01,7.1196
2025-10-02,7.1195
2025-10-03,7.1196
2025-10-06,7.1195
2025-10-07,7.1196
2025-10-08,7.1195
2025-10-09,7.1224
2025-10-10,7.1228
2025-10-13,7.1321
2025-10-14,7.14
2025-10-15,7.1264
2025-10-16,7.1258
2025-10-17,7.1223
2025-10-20,7.1235
2025-10-21,7.1186
2025-10-22,7.1266
2025-10-23,7.1244
2025-10-24,7.1225
2025-10-27,7.1075
2025-10-28,7.1014
2025-10-29,7.0994
2025-10-30,7.1143
2025-10-31,7.1162
2025-11-03,7.1206
2025-11-04,7.1253
2025-11-05,7.1271
2025-11-06,7.1195
2025-11-07,7.1208
2025-11-10,7.1193
2025-11-11,7.1185
2025-11-12,7.1165
2025-11-13,7.0961
2025-11-14,7.0961
2025-11-17,7.1076
2025-11-18,7.1104
2025-11-19,7.1103
2025-11-20,7.1138
2025-11-21,7.1098
2025-11-24,7.0888
2025-11-25,7.0855
2025-11-26,7.0795
2025-11-27,7.0834
2025-11-28,7.0756
2025-12-01,7.0718
2025-12-02,7.071
2025-12-03,7.0638
2025-12-04,7.0717
2025-12-05,7.0702
2025-12-08,7.068
2025-12-09,7.0643
2025-12-10,7.0625
2025-12-11,7.0581
2025-12-12,7.0547
2025-12-15,7.0471
2025-12-16,7.0423
2025-12-17,7.0439
2025-12-18,7.0413
2025-12-19,7.0411
2025-12-22,7.037
2025-12-23,7.0281
2025-12-24,7.0144
2025-12-29,7.0065
2025-12-30,6.9929
2025-12-31,7.001
2026-01-02,6.9937
2026-01-05,6.9854
2026-01-06,6.9844
2026-01-07,6.9912
2026-01-08,6.9818
2026-01-09,6.9823
2026-01-12,6.9731
2026-01-13,6.9756
2026-01-14,6.9734
2026-01-15,6.9673
2026-01-16,6.9697
2026-01-19,6.9634
2026-01-20,6.9589
2026-01-21,6.9639
2026-01-22,6.9757
2026-01-23,6.9646
2026-01-26,6.9544
2026-01-27,6.9548
2026-01-28,6.9464
2026-01-29,6.9462
2026-01-30,6.9497
2026-02-02,6.9434
2026-02-03,6.9381
2026-02-04,6.9417
2026-02-05,6.9392
2026-02-06,6.939
2026-02-09,6.9225
2026-02-10,6.9148
2026-02-11,6.9113
2026-02-12,6.9011
2026-02-13,6.9086
2026-02-16,6.9086
2026-02-17,6.9087
2026-02-18,6.9087
2026-02-19,6.9086
2026-02-20,6.9086
2026-02-23,6.9087
2026-02-24,6.8817
2026-02-25,6.8695
2026-02-26,6.8413
2026-02-27,6.8582
2026-03-02,6.8825
2026-03-03,6.9076
2026-03-04,6.8973
2026-03-05,6.9011
2026-03-06,6.9047
2026-03-09,6.9173
2026-03-10,6.8772
2026-03-11,6.8662
2026-03-12,6.869
2026-03-13,6.8966
2026-03-16,6.8961
2026-03-17,6.8868
2026-03-18,6.8882
2026-03-19,6.9004
2026-03-20,6.8943
2026-03-23,6.8917
2026-03-24,6.8934
2026-03-25,6.8995
2026-03-26,6.9102
2026-03-27,6.9138
2026-03-30,6.9114
2026-03-31,6.9004
2026-04-01,6.8738
2026-04-02,6.8976
2026-04-07,6.8574
2026-04-08,6.8297
2026-04-09,6.8347
2026-04-10,6.8284
2026-04-13,6.8322
2026-04-14,6.8158
2026-04-15,6.8211
2026-04-16,6.8213
2026-04-17,6.8223
2026-04-20,6.8177
2026-04-21,6.8158
2026-04-22,6.8244
2026-04-23,6.835
2026-04-24,6.8363
2026-04-27,6.8231
2026-04-28,6.8388
2026-04-29,6.8335
2026-04-30,6.8287
2026-05-04,6.8303
2026-05-05,6.8302
2026-05-06,6.8112
2026-05-07,6.8019
2026-05-08,6.8012
2026-05-11,6.7965
2026-05-12,6.7921
2026-05-13,6.791
2026-05-14,6.7852
2026-05-15,6.7992
2026-05-16,6.804600000000001
2026-05-17,6.804600000000001
2026-05-18,6.7965
2026-05-19,6.7888
2026-05-20,6.798500000000001
2026-05-21,6.7934
2026-05-22,6.7876
